text,label
"The quick brown fox jumps over the lazy dog.",0
"I am an artificial intelligence model created by OpenAI.",1
"Today was a good day. I went to the park and saw some birds.",0
"As an AI language model, I cannot provide personal opinions.",1
"My favorite color is blue because it reminds me of the ocean.",0
"To calculate the fibonacci sequence, one must iterate through the preceding numbers.",1
"Can you believe how expensive coffee is these days?",0
"Neural networks are composed of layers of artificial neurons.",1
"I'm feeling really tired after that workout.",0
"The algorithm optimizes for the lowest possible content loss.",1
